,dim_red,dataset_name,model_name,num_clusters,n_components,silhouette_avg,calinski_score,dim_red_time,cluster_time
0,pca,bank_marketing,KMeans,2,24,0.21686320903077527,4742.957812903692,2.0356228351593018,0.06971287727355957
1,pca,bank_marketing,EM,2,24,0.21873227473783688,4542.696566551603,2.0356228351593018,2.4020333290100098
2,pca,bank_marketing,KMeans,4,24,0.08895969529596912,3359.191277395859,2.0356228351593018,0.3036530017852783
3,pca,bank_marketing,EM,4,24,0.04607726404750756,2164.860562148136,2.0356228351593018,13.635383605957031
4,pca,bank_marketing,KMeans,6,24,0.10074930701577951,3029.2515257307355,2.0356228351593018,0.2835690975189209
5,pca,bank_marketing,EM,6,24,0.01792673468114566,1478.9186239904882,2.0356228351593018,8.299560070037842
6,pca,bank_marketing,KMeans,8,24,0.10392487624833595,2906.9142360765186,2.0356228351593018,0.29015588760375977
7,pca,bank_marketing,EM,8,24,-0.002379707264555517,1055.167195298457,2.0356228351593018,15.549625873565674
8,pca,bank_marketing,KMeans,10,24,0.08938017165531688,2558.289016141675,2.0356228351593018,0.29195594787597656
9,pca,bank_marketing,EM,10,24,0.028784554896470256,960.897726843383,2.0356228351593018,14.229535102844238
10,pca,real_waste,KMeans,2,1214,0.11330879553706416,384.17080263081874,10.728332042694092,0.2987189292907715
11,pca,real_waste,EM,2,1214,0.11596639394502575,376.73221320810444,10.728332042694092,7.838986158370972
12,pca,real_waste,KMeans,4,1214,0.05038548982116599,250.50676055842735,10.728332042694092,0.33150792121887207
13,pca,real_waste,EM,4,1214,0.05038548982116599,250.50676055842735,10.728332042694092,4.722213268280029
14,pca,real_waste,KMeans,6,1214,0.037637052797221515,192.38411574561195,10.728332042694092,0.3372652530670166
15,pca,real_waste,EM,6,1214,0.037637052797221515,192.38411574561195,10.728332042694092,6.077554941177368
16,pca,real_waste,KMeans,8,1214,0.039251576177615786,158.18312471486124,10.728332042694092,0.3358290195465088
17,pca,real_waste,EM,8,1214,0.039251576177615786,158.18312471486124,10.728332042694092,7.854480743408203
18,pca,real_waste,KMeans,10,1214,0.03543709108686137,133.98559483522675,10.728332042694092,0.33537888526916504
19,pca,real_waste,EM,10,1214,0.03543709108686137,133.98559483522675,10.728332042694092,8.82939100265503
20,ica,bank_marketing,KMeans,2,13,0.055642352840449015,1564.5205865053974,1.083575963973999,0.28200721740722656
21,ica,bank_marketing,EM,2,13,0.055642352840449015,1564.5205865053974,1.083575963973999,1.031259298324585
22,ica,bank_marketing,KMeans,4,13,0.07281729920559668,2842.322825841955,1.083575963973999,0.2847428321838379
23,ica,bank_marketing,EM,4,13,0.01889363812245557,2185.868712918884,1.083575963973999,11.571972131729126
24,ica,bank_marketing,KMeans,6,13,0.06967794171903623,1967.843885414893,1.083575963973999,0.28139615058898926
25,ica,bank_marketing,EM,6,13,0.025347798777714703,1611.644846047915,1.083575963973999,5.497432231903076
26,ica,bank_marketing,KMeans,8,13,0.07221531874690394,1939.4810268481654,1.083575963973999,0.29109907150268555
27,ica,bank_marketing,EM,8,13,0.03341361004154358,1424.6264555545818,1.083575963973999,7.632813930511475
28,ica,bank_marketing,KMeans,10,13,0.06473613419759672,1751.022961931767,1.083575963973999,0.3011939525604248
29,ica,bank_marketing,EM,10,13,0.01691208327308519,1365.1110237378352,1.083575963973999,12.149171113967896
30,ica,real_waste,KMeans,2,4096,0.0032314420796766383,13.241089302619685,3138.3630821704865,0.35226893424987793
31,ica,real_waste,EM,2,4096,0.0032314420796766383,13.241089302619685,3138.3630821704865,13.629501104354858
32,ica,real_waste,KMeans,4,4096,-0.18892158747189688,3.727474604367964,3138.3630821704865,0.33206701278686523
33,ica,real_waste,EM,4,4096,-0.18892158747189688,3.727474604367964,3138.3630821704865,26.08586025238037
34,ica,real_waste,KMeans,6,4096,-0.18889890387606698,3.226045590039217,3138.3630821704865,0.3244800567626953
35,ica,real_waste,EM,6,4096,-0.18889890387606698,3.226045590039217,3138.3630821704865,38.92109990119934
36,ica,real_waste,KMeans,8,4096,-0.2039625016239518,2.3994731722839773,3138.3630821704865,0.31366395950317383
37,ica,real_waste,EM,8,4096,-0.2039625016239518,2.3994731722839773,3138.3630821704865,50.645774841308594
38,ica,real_waste,KMeans,10,4096,-0.21825236523240119,2.171780848384753,3138.3630821704865,0.4541440010070801
39,ica,real_waste,EM,10,4096,-0.21825236523240119,2.171780848384753,3138.3630821704865,64.46954298019409
40,rp,bank_marketing,KMeans,2,7,0.21309288346161845,4487.295117261099,0.1021571159362793,0.26926398277282715
41,rp,bank_marketing,EM,2,7,0.19083225862770553,3784.501928306405,0.1021571159362793,2.127208948135376
42,rp,bank_marketing,KMeans,4,7,0.05124744734969437,2455.4434390753972,0.1021571159362793,0.2924799919128418
43,rp,bank_marketing,EM,4,7,0.051211673913129474,2288.7585108475105,0.1021571159362793,6.072017192840576
44,rp,bank_marketing,KMeans,6,7,0.03729008680889777,1901.5721519232304,0.1021571159362793,0.30612802505493164
45,rp,bank_marketing,EM,6,7,0.04790977647018284,2102.7059405053915,0.1021571159362793,10.686688899993896
46,rp,bank_marketing,KMeans,8,7,0.02864160461271007,1554.641946102616,0.1021571159362793,0.31287193298339844
47,rp,bank_marketing,EM,8,7,0.040017321466538615,1596.1946659071239,0.1021571159362793,9.29163908958435
48,rp,bank_marketing,KMeans,10,7,0.02962672139180798,1560.520212583047,0.1021571159362793,0.3145439624786377
49,rp,bank_marketing,EM,10,7,0.016318831444680524,1392.1398181089287,0.1021571159362793,9.892315149307251
50,rp,real_waste,KMeans,2,4096,0.11201838927811973,383.52509397653375,0.9281809329986572,0.42092299461364746
51,rp,real_waste,EM,2,4096,0.11201838927811973,383.52509397653375,0.9281809329986572,15.563120126724243
52,rp,real_waste,KMeans,4,4096,0.0510643789596534,247.14639793887147,0.9281809329986572,0.44826674461364746
53,rp,real_waste,EM,4,4096,0.0510643789596534,247.14639793887147,0.9281809329986572,31.156311988830566
54,rp,real_waste,KMeans,6,4096,0.0377028161573138,192.2118103701359,0.9281809329986572,0.7681591510772705
55,rp,real_waste,EM,6,4096,0.0377028161573138,192.2118103701359,0.9281809329986572,45.57914209365845
56,rp,real_waste,KMeans,8,4096,0.0369786094916874,156.85441745799847,0.9281809329986572,0.7320632934570312
57,rp,real_waste,EM,8,4096,0.0369786094916874,156.85441745799847,0.9281809329986572,61.82129716873169
58,rp,real_waste,KMeans,10,4096,0.03680533236142449,133.89068503983992,0.9281809329986572,0.9575591087341309
59,rp,real_waste,EM,10,4096,0.03680533236142449,133.89068503983992,0.9281809329986572,78.00290989875793
